protein_id,bmrb_id,entity_id,pdb_path,status,error
bmr4086_entity1,4086,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4086_entity1.pdb,skipped_existing,
bmr4087_entity1,4087,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4087_entity1.pdb,skipped_existing,
bmr4089_entity1,4089,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4089_entity1.pdb,skipped_existing,
bmr4090_entity1,4090,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4090_entity1.pdb,skipped_existing,
bmr4091_entity1,4091,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4091_entity1.pdb,skipped_existing,
bmr4092_entity1,4092,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4092_entity1.pdb,skipped_existing,
bmr4093_entity1,4093,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4093_entity1.pdb,skipped_existing,
bmr4094_entity1,4094,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4094_entity1.pdb,skipped_existing,
bmr4095_entity1,4095,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4095_entity1.pdb,skipped_existing,
bmr4097_entity1,4097,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4097_entity1.pdb,skipped_existing,
bmr4098_entity1,4098,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4098_entity1.pdb,skipped_existing,
bmr4099_entity1,4099,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4099_entity1.pdb,skipped_existing,
bmr4099_entity2,4099,2,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4099_entity2.pdb,skipped_existing,
bmr4100_entity1,4100,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4100_entity1.pdb,skipped_existing,
bmr4101_entity1,4101,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4101_entity1.pdb,skipped_existing,
bmr4102_entity1,4102,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4102_entity1.pdb,skipped_existing,
bmr4105_entity1,4105,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4105_entity1.pdb,skipped_existing,
bmr4107_entity1,4107,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4107_entity1.pdb,skipped_existing,
bmr4108_entity1,4108,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4108_entity1.pdb,skipped_existing,
bmr4109_entity1,4109,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4109_entity1.pdb,skipped_existing,
bmr4110_entity1,4110,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4110_entity1.pdb,skipped_existing,
bmr4111_entity1,4111,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4111_entity1.pdb,skipped_existing,
bmr4113_entity1,4113,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4113_entity1.pdb,skipped_existing,
bmr4114_entity1,4114,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4114_entity1.pdb,skipped_existing,
bmr4115_entity1,4115,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4115_entity1.pdb,skipped_existing,
bmr4115_entity2,4115,2,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4115_entity2.pdb,invalid_sequence,invalid sequence characters: .
bmr4116_entity1,4116,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4116_entity1.pdb,skipped_existing,
bmr4117_entity1,4117,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4117_entity1.pdb,skipped_existing,
bmr4121_entity1,4121,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4121_entity1.pdb,skipped_existing,
bmr4122_entity1,4122,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4122_entity1.pdb,skipped_existing,
bmr4123_entity1,4123,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4123_entity1.pdb,skipped_existing,
bmr4124_entity1,4124,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4124_entity1.pdb,skipped_existing,
bmr4124_entity2,4124,2,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4124_entity2.pdb,skipped_existing,
bmr4126_entity1,4126,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4126_entity1.pdb,skipped_existing,
bmr4127_entity1,4127,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4127_entity1.pdb,skipped_existing,
bmr4128_entity1,4128,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4128_entity1.pdb,skipped_existing,
bmr4129_entity1,4129,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4129_entity1.pdb,skipped_existing,
bmr4129_entity2,4129,2,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4129_entity2.pdb,skipped_existing,
bmr4130_entity1,4130,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4130_entity1.pdb,skipped_existing,
bmr4131_entity1,4131,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4131_entity1.pdb,skipped_existing,
bmr4132_entity1,4132,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4132_entity1.pdb,skipped_existing,
bmr4134_entity1,4134,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4134_entity1.pdb,skipped_existing,
